PARTYEAR,Month_Ending,FY_Start_Date,FY_End_Date,TRETSPEF,TRETSPEF_DESCRIPTION,FCE,FCEs_With_Procedure,Ordinary_Admission_Episodes,FCE_DAY_CASES,FCE_DAY_WITH_PROCEDURE,FAE,EMERGENCY,Total_Appointments,Attended_Appointments,DNA_Appointments,First_Attendance,Follow_Up_Attendance,Latest_Month_Flag
202206,30SEP22,01APR22,31MAR23,&,Not Known,660,303,619,41,37,570,48,14948,11119,1760,2916,8203,1
202206,30SEP22,01APR22,31MAR23,100,General Surgery Service,106819,59107,68924,37895,30861,95741,50468,221290,169155,13011,68020,101047,1
202206,30SEP22,01APR22,31MAR23,101,Urology Service,54725,36846,25283,29442,23255,50920,12235,332317,236757,20683,71301,165452,1
202206,30SEP22,01APR22,31MAR23,102,Transplant Surgery Service,1153,757,893,260,233,918,379,10294,7682,682,808,6874,1
202206,30SEP22,01APR22,31MAR23,103,Breast Surgery Service,6442,5200,2025,4417,3575,6363,92,152173,120209,7093,56546,63645,1
202206,30SEP22,01APR22,31MAR23,104,Colorectal Surgery Service,27639,20730,8649,18990,16280,25407,3636,119291,88858,6990,44291,44567,1
202206,30SEP22,01APR22,31MAR23,105,Hepatobiliary and Pancreatic Surgery Service,2756,1570,2408,348,278,1822,664,10470,7735,718,2204,5531,1
202206,30SEP22,01APR22,31MAR23,106,Upper Gastrointestinal Surgery Service,8429,5528,4410,4019,3416,7098,1968,21026,14955,1375,6637,8318,1
202206,30SEP22,01APR22,31MAR23,107,Vascular Surgery Service,7660,4656,5022,2638,1952,6458,2114,57798,39754,4193,17661,22071,1
202206,30SEP22,01APR22,31MAR23,108,Spinal Surgery Service,4075,3040,2321,1754,1479,3754,707,30472,23537,1895,8610,14927,1
202206,30SEP22,01APR22,31MAR23,109,Bariatric Surgery Service,121,110,100,21,18,117,4,2218,1498,266,262,1236,1
202206,30SEP22,01APR22,31MAR23,110,Trauma and Orthopaedic Service,77973,55706,49701,28272,23522,71052,21607,721081,559293,46261,201946,357339,1
202206,30SEP22,01APR22,31MAR23,111,Orthopaedic Service,437,371,263,174,161,413,79,4728,2790,248,517,2273,1
202206,30SEP22,01APR22,31MAR23,113,Endocrine Surgery Service,68,60,63,5,2,67,0,999,553,67,182,371,1
202206,30SEP22,01APR22,31MAR23,115,Trauma Surgery Service,295,197,232,63,44,288,183,3577,2505,350,1066,1439,1
202206,30SEP22,01APR22,31MAR23,120,Ear Nose and Throat Service,20323,13196,10427,9896,7835,19575,6112,291796,201720,23197,88158,113561,1
202206,30SEP22,01APR22,31MAR23,130,Ophthalmology Service,75788,68187,2290,73498,66441,75210,1092,867089,638609,57972,163288,473586,1
202206,30SEP22,01APR22,31MAR23,140,Oral Surgery Service,10390,8498,1663,8727,7393,10127,759,79733,54746,6963,24696,30050,1
202206,30SEP22,01APR22,31MAR23,141,Restorative Dentistry Service,473,427,20,453,417,473,13,29816,20586,2148,3573,17013,1
202206,30SEP22,01APR22,31MAR23,142,Paediatric Dentistry Service,1661,1404,47,1614,1368,1660,9,10008,6582,916,2331,4251,1
202206,30SEP22,01APR22,31MAR23,143,Orthodontic Service,41,33,6,35,32,38,2,65961,46553,4547,3933,42616,1
202206,30SEP22,01APR22,31MAR23,144,Maxillofacial Surgery Service,6859,4778,2435,4424,3204,6710,1408,53396,36532,4428,13680,22836,1
202206,30SEP22,01APR22,31MAR23,145,Oral and Maxillofacial Surgery Service,1192,668,383,809,482,1165,251,7972,5642,707,2035,3605,1
202206,30SEP22,01APR22,31MAR23,150,Neurosurgical Service,6856,4906,5815,1041,871,5516,1973,43973,30184,2669,9638,20546,1
202206,30SEP22,01APR22,31MAR23,160,Plastic Surgery Service,18567,13607,5638,12929,10130,18034,3499,110583,81127,6956,26303,54824,1
202206,30SEP22,01APR22,31MAR23,161,Burns Care Service,344,159,301,43,38,309,223,5609,4494,350,1140,3354,1
202206,30SEP22,01APR22,31MAR23,170,Cardiothoracic Surgery Service,872,521,853,19,16,631,125,5246,3879,195,1220,2659,1
202206,30SEP22,01APR22,31MAR23,171,Paediatric Surgery Service,4287,3123,2378,1909,1668,3987,1331,19701,13354,1440,5989,7365,1
202206,30SEP22,01APR22,31MAR23,172,Cardiac Surgery Service,2170,1600,2142,28,20,1585,226,7820,5986,315,1727,4259,1
202206,30SEP22,01APR22,31MAR23,173,Thoracic Surgery Service,2219,1648,2094,125,113,2016,297,7591,5867,481,1568,4299,1
202206,30SEP22,01APR22,31MAR23,174,Cardiothoracic Transplantation Service,188,140,144,44,40,177,60,1491,1071,63,39,1032,1
202206,30SEP22,01APR22,31MAR23,180,Emergency Medicine Service,37419,6013,37250,169,130,36706,36420,13502,11565,859,8670,2895,1
202206,30SEP22,01APR22,31MAR23,190,Anaesthetic Service,1312,649,507,805,483,1046,170,90055,69854,4499,22666,47188,1
202206,30SEP22,01APR22,31MAR23,191,Pain Management Service,11317,9376,194,11123,9241,11168,49,75142,53148,6701,13805,39343,1
202206,30SEP22,01APR22,31MAR23,192,Intensive Care Medicine Service,3376,1416,3365,11,11,1179,1062,2012,1289,164,645,644,1
202206,30SEP22,01APR22,31MAR23,199,"Non-UK Provider; specialty function not known, tre",778,0,778,0,0,255,118,48,0,18,0,0,1
202206,30SEP22,01APR22,31MAR23,211,Paediatric Urology Service,1611,1361,404,1207,1049,1593,111,9476,6182,902,2147,4035,1
202206,30SEP22,01APR22,31MAR23,212,Paediatric Transplantation Surgery Service,14,9,13,1,1,11,2,64,55,5,0,55,1
202206,30SEP22,01APR22,31MAR23,213,Paediatric Gastrointestinal Surgery Service,3,3,1,2,2,3,1,15,11,0,8,3,1
202206,30SEP22,01APR22,31MAR23,214,Paediatric Trauma and Orthopaedic Service,2149,1611,1440,709,576,2051,674,42073,30146,3230,12405,17741,1
202206,30SEP22,01APR22,31MAR23,215,Paediatric Ear Nose and Throat Service,2273,1901,950,1323,1178,2223,264,22727,14023,1986,6125,7898,1
202206,30SEP22,01APR22,31MAR23,216,Paediatric Ophthalmology Service,612,527,80,532,466,603,10,47985,31657,5727,9461,22196,1
202206,30SEP22,01APR22,31MAR23,217,Paediatric Oral and Maxillofacial Surgery Service,483,402,211,272,250,481,152,2032,1409,133,556,853,1
202206,30SEP22,01APR22,31MAR23,218,Paediatric Neurosurgery Service,635,503,448,187,172,536,147,3015,2228,151,496,1732,1
202206,30SEP22,01APR22,31MAR23,219,Paediatric Plastic Surgery Service,1614,1273,897,717,602,1596,611,10002,7824,610,2999,4825,1
202206,30SEP22,01APR22,31MAR23,220,Paediatric Burns Care Service,259,195,147,112,89,253,115,2573,2189,145,508,1681,1
202206,30SEP22,01APR22,31MAR23,221,Paediatric Cardiac Surgery Service,300,202,298,2,2,181,11,256,214,13,114,100,1
202206,30SEP22,01APR22,31MAR23,222,Paediatric Thoracic Surgery Service,14,11,13,1,1,11,3,44,35,1,12,23,1
202206,30SEP22,01APR22,31MAR23,223,Paediatric Epilepsy Service,63,45,30,33,28,59,12,5592,3969,493,755,3214,1
202206,30SEP22,01APR22,31MAR23,240,Paediatric Palliative Medicine Service,,,,,,,,16,7,0,0,7,1
202206,30SEP22,01APR22,31MAR23,241,Paediatric Pain Management Service,54,47,2,52,47,54,0,433,311,29,63,246,1
202206,30SEP22,01APR22,31MAR23,242,Paediatric Intensive Care Service,713,372,713,0,0,307,230,177,159,18,16,143,1
202206,30SEP22,01APR22,31MAR23,251,Paediatric Gastroenterology Service,2919,2543,517,2402,2201,2855,135,14480,9697,1097,2139,7558,1
202206,30SEP22,01APR22,31MAR23,252,Paediatric Endocrinology Service,953,850,136,817,751,943,24,11268,7486,872,1446,6040,1
202206,30SEP22,01APR22,31MAR23,253,Paediatric Clinical Haematology Service,2514,2181,532,1982,1868,2445,248,9293,7085,527,888,6197,1
202206,30SEP22,01APR22,31MAR23,254,Paediatric Audio Vestibular Medicine Service,36,31,5,31,27,36,3,9928,6730,909,2733,3997,1
202206,30SEP22,01APR22,31MAR23,255,Paediatric Clinical Immunology and Allergy Service,986,763,36,950,739,979,5,11409,7413,994,2609,4804,1
202206,30SEP22,01APR22,31MAR23,256,Paediatric Infectious Diseases Service,149,60,79,70,32,117,40,1205,773,124,320,453,1
202206,30SEP22,01APR22,31MAR23,257,Paediatric Dermatology Service,308,205,19,289,192,305,2,18606,11555,1923,3996,7559,1
202206,30SEP22,01APR22,31MAR23,258,Paediatric Respiratory Medicine Service,1477,987,1199,278,228,1338,264,18535,11875,2008,3765,8110,1
202206,30SEP22,01APR22,31MAR23,259,Paediatric Nephrology Service,867,611,238,629,493,817,97,6709,4915,435,613,4302,1
202206,30SEP22,01APR22,31MAR23,260,Paediatric Medical Oncology Service,4434,3667,1197,3237,2889,4320,489,8406,6859,260,361,6498,1
202206,30SEP22,01APR22,31MAR23,261,Paediatric Inherited Metabolic Medicine Service,243,191,61,182,158,237,19,1879,1220,118,127,1093,1
202206,30SEP22,01APR22,31MAR23,262,Paediatric Rheumatology Service,893,726,66,827,681,890,18,5634,4104,334,769,3330,1
202206,30SEP22,01APR22,31MAR23,263,Paediatric Diabetes Service,102,7,94,8,2,68,47,13263,9353,1049,350,9003,1
202206,30SEP22,01APR22,31MAR23,264,Paediatric Cystic Fibrosis Service,77,49,27,50,35,66,4,1731,1252,79,40,1212,1
202206,30SEP22,01APR22,31MAR23,270,Paediatric Emergency Medicine Service,24,2,24,0,0,24,24,2,2,0,0,2,1
202206,30SEP22,01APR22,31MAR23,280,Paediatric Interventional Radiology Service,43,35,19,24,23,30,2,261,204,0,52,152,1
202206,30SEP22,01APR22,31MAR23,290,Community Paediatric Service,65,43,18,47,42,65,13,32913,25283,2566,5652,19631,1
202206,30SEP22,01APR22,31MAR23,291,Paediatric Neurodisability Service,46,36,13,33,32,46,7,7694,5676,550,1424,4252,1
202206,30SEP22,01APR22,31MAR23,300,General Internal Medicine Service,277943,65195,258901,19042,14127,196925,174805,106265,88001,5447,38919,48945,1
202206,30SEP22,01APR22,31MAR23,301,Gastroenterology Service,125111,93576,24405,100706,86022,106198,3719,237901,171436,18268,63160,108098,1
202206,30SEP22,01APR22,31MAR23,302,Endocrinology Service,13020,4503,9891,3129,2608,6179,2897,96477,65525,8517,16712,48813,1
202206,30SEP22,01APR22,31MAR23,303,Clinical Haematology Service,57807,48204,7179,50628,44718,55769,2811,240269,185830,11335,20763,165067,1
202206,30SEP22,01APR22,31MAR23,304,Clinical Physiology Service,7,7,0,7,7,7,0,60756,46199,4029,25852,20347,1
202206,30SEP22,01APR22,31MAR23,305,Clinical Pharmacology Service,377,153,301,76,70,161,61,1628,1068,126,210,858,1
202206,30SEP22,01APR22,31MAR23,306,Hepatology Service,3248,1910,1764,1484,1223,2047,209,45457,30295,5167,6913,23365,1
202206,30SEP22,01APR22,31MAR23,307,Diabetes Service,5438,1226,5024,414,343,2441,1997,125500,89938,13187,14610,75328,1
202206,30SEP22,01APR22,31MAR23,308,Blood and Marrow Transplantation Service,729,606,253,476,450,662,55,3997,3106,121,161,2945,1
202206,30SEP22,01APR22,31MAR23,309,Haemophilia Service,279,249,61,218,210,275,43,5313,3552,565,450,3102,1
202206,30SEP22,01APR22,31MAR23,310,Audio Vestibular Medicine Service,3,3,1,2,2,3,0,41659,30517,2183,10381,20136,1
202206,30SEP22,01APR22,31MAR23,311,Clinical Genetics Service,25,19,7,18,14,25,4,10803,6908,2196,4099,2809,1
202206,30SEP22,01APR22,31MAR23,313,Clinical Immunology and Allergy Service,574,426,11,563,418,573,0,5639,3778,534,1332,2446,1
202206,30SEP22,01APR22,31MAR23,314,Rehabilitation Medicine Service,3717,1393,3563,154,78,1791,280,21769,16025,1654,4205,11820,1
202206,30SEP22,01APR22,31MAR23,315,Palliative Medicine Service,815,112,803,12,7,333,193,12331,11073,342,2145,8928,1
202206,30SEP22,01APR22,31MAR23,316,Clinical Immunology Service,693,653,10,683,646,693,4,3856,2579,251,410,2169,1
202206,30SEP22,01APR22,31MAR23,317,Allergy Service,708,669,7,701,662,707,1,9902,6400,1017,2333,4067,1
202206,30SEP22,01APR22,31MAR23,318,Intermediate Care Service,1237,258,1237,0,0,514,67,46367,45697,499,7402,38295,1
202206,30SEP22,01APR22,31MAR23,319,Respite Care Service,67,2,67,0,0,67,0,1,1,0,1,0,1
202206,30SEP22,01APR22,31MAR23,320,Cardiology Service,53786,29147,37341,16445,13277,31813,10925,412183,308802,28570,133931,174866,1
202206,30SEP22,01APR22,31MAR23,321,Paediatric Cardiology Service,1053,821,624,429,343,827,99,22438,15841,1564,5020,10821,1
202206,30SEP22,01APR22,31MAR23,322,Clinical Microbiology Service,41,22,24,17,9,35,10,2662,2063,393,1122,941,1
202206,30SEP22,01APR22,31MAR23,323,Spinal Injuries Service,267,121,238,29,2,192,19,2587,1975,132,192,1783,1
202206,30SEP22,01APR22,31MAR23,324,Anticoagulant Service,5,4,4,1,1,4,2,67950,57668,4506,4939,52729,1
202206,30SEP22,01APR22,31MAR23,325,Sport and Exercise Medicine Service,1083,29,1079,4,3,965,959,1717,965,174,399,566,1
202206,30SEP22,01APR22,31MAR23,326,Acute Internal Medicine Service,14304,2765,14213,91,56,10752,10625,6680,6294,200,4443,1851,1
202206,30SEP22,01APR22,31MAR23,327,Cardiac Rehabilitation Service,6,1,6,0,0,3,2,10705,8487,700,1481,7006,1
202206,30SEP22,01APR22,31MAR23,328,Stroke Medicine Service,12508,4244,12477,31,15,5625,5259,9743,7251,793,3859,3392,1
202206,30SEP22,01APR22,31MAR23,329,Transient Ischaemic Attack Service,191,87,107,84,44,160,75,9737,8228,390,6791,1437,1
202206,30SEP22,01APR22,31MAR23,330,Dermatology Service,13166,10667,304,12862,10474,13120,37,388908,277952,24714,102379,175569,1
202206,30SEP22,01APR22,31MAR23,331,Congenital Heart Disease Service,99,83,67,32,31,96,25,5898,3519,431,619,2900,1
202206,30SEP22,01APR22,31MAR23,340,Respiratory Medicine Service,42640,12184,36164,6476,4661,15656,8227,240971,168693,21193,57538,111150,1
202206,30SEP22,01APR22,31MAR23,341,Respiratory Physiology Service,1072,688,716,356,105,1046,16,61161,44378,5616,16015,28363,1
202206,30SEP22,01APR22,31MAR23,342,Pulmonary Rehabilitation Service,,,,,,,,5355,4164,327,566,3598,1
202206,30SEP22,01APR22,31MAR23,343,Adult Cystic Fibrosis Service,394,140,184,210,83,327,58,2219,1454,243,39,1415,1
202206,30SEP22,01APR22,31MAR23,344,Complex Specialised Rehabilitation Service,35,27,35,0,0,15,3,519,370,49,104,266,1
202206,30SEP22,01APR22,31MAR23,345,Specialist Rehabilitation Service,22,11,22,0,0,7,0,875,727,82,75,652,1
202206,30SEP22,01APR22,31MAR23,346,Local Specialist Rehabilitation Service,30,8,30,0,0,12,0,338,242,27,14,228,1
202206,30SEP22,01APR22,31MAR23,347,Sleep Medicine Service,4,4,4,0,0,4,0,2851,2062,297,341,1721,1
202206,30SEP22,01APR22,31MAR23,348,Post-COVID-19 Syndrome Service,5,4,3,2,1,5,2,1218,772,165,379,393,1
202206,30SEP22,01APR22,31MAR23,350,Infectious Diseases Service,3540,1352,2554,986,702,1648,598,29847,21332,3134,7190,14142,1
202206,30SEP22,01APR22,31MAR23,352,Tropical Medicine Service,44,25,43,1,1,24,23,1411,993,105,531,462,1
202206,30SEP22,01APR22,31MAR23,360,Genitourinary Medicine Service,58,25,52,6,6,41,31,12917,8900,1734,985,7915,1
202206,30SEP22,01APR22,31MAR23,361,Renal Medicine Service,14653,7401,10328,4325,3295,8675,2972,121500,91348,8404,9562,81786,1
202206,30SEP22,01APR22,31MAR23,370,Medical Oncology Service,40233,32804,5358,34875,30195,39407,3413,225390,185256,5154,14127,171076,1
